positive,negative
"Я в восторге от того, как завершился этот проект. Вся наша трудная работа действительно окупилась.","Я разочарован тем, как оказался этот проект, и все наши трудолюбивые работы кажутся пустыми."
Сегодня идеальная погода для пикника в парке.,Погода сегодня совершенно ужасна для любой работы на свежем воздухе.
Встреча с новыми людьми всегда вдохновляет меня и расширяет мою перспективу.,Встреча с новыми людьми всегда выводит меня из себя и заставляет чувствовать себя некомфортно.
"Поддержка, которую я получил от моих коллег, была бесценной.",Отсутствие поддержки со стороны моих коллег вызывает разочарование.
"Учиться новому навыку может быть непросто, но это невероятно полезно.","Учиться новому навыку может быть непросто, и это часто удручает."
Я чувствую себя такой напряженной после утренней тренировки.,"Я чувствую себя такой уставшей после того, как попробовала утренние тренировки."
Новые политические изменения в нашей работе значительно повысили нашу эффективность.,Новые политические изменения в нашей работе серьезно сказались на нашей эффективности.
"Проводя время в природе, я всегда чувствую себя освеженной и вдохновлённой.","Проводя время в природе, я всегда чувствую себя скучным и беспокойным."
"Я в восторге от возможностей, которые у меня впереди в карьере.",Я беспокоюсь о неопределенности в моей карьере.
"Клиентская служба, которую я получил, была исключительной и быстро решила мою проблему.","Обслуживание клиентов, которое я получил, было ужасным и только усугубило мою проблему."
Конференция была чрезвычайно информативной и хорошо организованной.,"Эта конференция, к сожалению, была неинформативной и плохо организованной."
"Я благодарен за конструктивные отзывы, которые я получил по моей презентации.","Я расстроен из-за суровой критики, которую я получил на своем выступлении."
Новое программное обеспечение сделало моё устройство намного быстрее и эффективнее.,Новое программное обеспечение сделало моё устройство гораздо медленнее и менее надежным.
"После того, как я закончила эту трудную книгу, у меня появилось чувство успеха.","Я чувствую чувство разочарования после того, как борюсь с этой запутанной книгой."
Реакция общины на это благотворительное мероприятие была чрезвычайно щедрой.,"Реакция общины на благотворительное мероприятие была, к сожалению, апатичной."
Я в восторге от потенциала этого нового делового партнерства.,Я беспокоюсь о рисках этого нового делового партнерства.
Отель превзошел мои ожидания своим комфортом и удобствами.,Отель не оправдал моих ожиданий из-за его дискомфорта и отсутствия удобств.
"Я горжусь тем, как много прогресса я добился в изучении нового языка.","Меня расстраивает то, как мало я добился прогресса в изучении нового языка."
Совместные усилия группы привели к выработке новаторского решения.,Недостаток сотрудничества группы привел к посредственным результатам.
Я чувствую себя омолаженной после расслабляющего отпуска.,Я чувствую себя уставшей после напряженных каникул.
Новая система общественного транспорта значительно улучшила мою ежедневную поездку.,Новая система общественного транспорта серьезно нарушила моё ежедневное прибытие.
Я впечатлена глубиной и ясностью этой исследовательской работы.,Я разочарован поверхностностью и путаницей этой исследовательской работы.
Реконструкция превратила наш офис в более продуктивное рабочее место.,Реконструкция превратила наше отделение в менее функциональную среду.
Я в восторге от результатов моего недавнего фитнес-порядка.,Я разочарован отсутствием результатов моих недавних фитнесовых попыток.
"Новый рецепт, который я пробовал, оказался восхитительным и легким для изготовления.","Новый рецепт, который я пытался найти, оказался неубедительным и сложным."
"Я чувствую себя более уверенно после того, как посещаю семинар по повышению квалификации.","Я чувствую себя более неуверенно после того, как посещаю семинар по вопросам профессиональной деятельности."
Группа поддержки клиентов быстро решила мой вопрос с терпением и опытом.,Группа поддержки клиентов затянула мою проблему безразличием и некомпетентностью.
Я в восторге от потенциального воздействия этой новой экологической инициативы.,Я скептически отношусь к эффективности этой новой экологической политики.
Художественная выставка была вдохновляющей и прекрасно кулинарной.,Художественное шоу было невоодушевленным и плохо организованным.
"Я благодарен за поддержку, которая помогла мне пережить трудные времена.",Меня огорчает отсутствие поддержки в мои трудные времена.
Новая программа в области здравоохранения значительно улучшила мое общее благосостояние.,Новый режим здравоохранения негативно сказался на моей повседневной жизни.
"Я впечатлен тем, как эффективно команда справилась с неожиданным вызовом.","Я разочарован тем, как плохо команда управляла непредвиденным препятствием."
Документальный фильм был просветительным и изменил мою точку зрения на этот вопрос.,Документальный фильм вводит в заблуждение и усиливает неправильное представление об этой теме.
"Я чувствую гордость за то, что наше сообщество отреагировало на недавний кризис.",Я потрясена реакцией нашей общины на недавнюю чрезвычайную ситуацию.
Новое приложение для бюджета помогло мне взять под контроль мои финансы.,Сложное финансовое программное обеспечение сделало управление моими деньгами более напряженным.
Я в восторге от потенциала искусственного интеллекта для решения сложных проблем.,Я беспокоюсь о последствиях искусственного интеллекта для гарантии занятости.
Работа по формированию коллектива значительно укрепила сплоченность и коммуникацию нашей группы.,Принудительная групповая деятельность высветила отделы нашей группы и вопросы коммуникации.
Меня удивляет быстрое развитие технологий использования возобновляемых источников энергии.,Меня беспокоит медленный прогресс в решении проблемы изменения климата.
Новый проект городского развития оживил наш район.,Недавнее строительство разрушило очарование нашего местного района.
Я чувствую себя более привязанным к своему культурному наследию после посещения фестиваля.,Я чувствую себя оторванным от своего культурного прошлого после разочаровывающего события.
Новая учебная программа вызвала энтузиазм у учащихся.,Пересмотренная школьная программа ослабила интерес учащихся к обучению.
Я впечатлена приверженностью компании этической деловой практике.,"Я разочарован тем, что организация игнорирует этические соображения."
Новое фитнес-слежение побудило меня быть более активным.,Ненадежный санитарный контролер удержал меня от регулярных упражнений.
Я оптимистично отношусь к потенциалу генной терапии для лечения ранее неизлечимых заболеваний.,"Я беспокоюсь о рисках, связанных с экспериментальным медицинским лечением."
Недавние дипломатические усилия значительно улучшили международные отношения.,Последние политические шаги усилили напряженность в отношениях между государствами.
"Я чувствую себя вправе после того, как посещаю семинар по личным финансам.","Я чувствую себя подавленной после того, как прослушала сложную лекцию по управлению деньгами."
Новая программа рециркуляции облегчила сокращение отходов для нашей общины.,Запутанная система обращения с отходами затрудняет надлежащую рециркуляцию.
Я в восторге от новых особенностей последнего выпуска смартфона.,Я разочарован ненужной сложностью нового мобильного устройства.
Гибкая политика компании в области труда значительно улучшила мой баланс между работой и личной жизнью.,Жесткий график работы организации негативно сказался на моей личной жизни.
"Я впечатлена тем, как город улучшил свои общественные места и парки.","Я разочарован тем, что не обращают внимания на места отдыха и зеленые места нашего города."
Благодаря новой онлайновой учебной платформе образование стало более доступным и активным.,"Неудовлетворительно разработанная система электронного обучения привела к тому, что обучение стало более сложным и обескураживающим."
"Я чувствую чувство успеха после завершения марафона, для которого я тренировался.","Я чувствую себя подавленной после того, как не смог закончить гонку, к которой я готовился."
Недавние усилия по охране дикой природы дали многообещающие результаты.,Неадекватные меры по охране окружающей среды привели к разрушению среды обитания.
"Я благодарен за программу наставничества, которая ускорила мой профессиональный рост.",Я разочарован отсутствием руководства в моей карьере.
Новая система управления движением значительно сократила заторы в городе.,Неудовлетворительно спланированные изменения дорог усугубили проблемы дорожного движения в нашем районе.
Меня впечатляют инициативы по обеспечению всеохватности и разнообразия на моем рабочем месте.,Меня беспокоит отсутствие представительства и равенства в нашей организации.
Реконструкция исторического места прекрасно сохранила наше культурное наследие.,Современные события подорвали характер нашего исторического района.
Я чувствую себя более уверенным в моих навыков принятия решений после семинара по вопросам руководства.,Я более сомневаюсь в своих способностях после запутанного семинара по вопросам управления.
Благодаря новой политике в области здравоохранения медицинское обслуживание стало более доступным и доступным.,В результате недавних изменений в системе медицинского страхования надлежащая медицинская помощь стала более дорогостоящей и труднодоступной.
Я в восторге от потенциала виртуальной реальности для повышения образовательного опыта.,Я беспокоюсь о влиянии чрезмерного времени экрана на развитие детей.
Новый ресторан с фермами изменил нашу местную сцену обеда.,Переоцененная еда разочаровывает наши ожидания на местную кухню.
"Я впечатлена тем, как хорошо компания справилась с переходом на удалённую работу.","Я разочарован тем, как плохо организация управляла переездом к работе из дома."
Новая программа совместного использования велосипедов в городе сделала поездки более приятными и экологически благоприятными.,Неудовлетворительно внедренная схема велосипедного движения привела к росту транспортных проблем и разочарований.
"Я чувствую себя более привязанным к своей общине после того, как вызвался добровольцем в местном приюте.",Я чувствую себя более изолированным от своего района после неудачной программы общинной пропаганды.
Новаторская программа сокращения отходов позволила значительно уменьшить наше воздействие на окружающую среду.,Неэффективная система рециркуляции мало что сделала для решения нашей растущей проблемы отходов.
Я в восторге от возможности индивидуализированного лечения для улучшения результатов лечения.,Меня беспокоят последствия генетического тестирования для частной жизни в сфере здравоохранения.
Новая общественная библиотека стала активным центром для обучения и вовлечения общин.,Старый общинный центр впал в негодование и беспорядок.
Я чувствую себя более продуктивным и сосредоточенным после принятия нового метода управления временем.,"Я чувствую себя более напряженной и подавленной после того, как попробовал сложную систему расписаний."
Транспарентная коммуникационная политика компании укрепила доверие и моральный дух сотрудников.,Отсутствие у организации четкой информации привело к повсеместной неопределенности и недовольству.
"Я поражена тем, как проект восстановления вдохнул новую жизнь в старое здание.","Я разочарован тем, как ремонт уничтожил исторический характер здания."
Новая программа языкового обмена значительно улучшила мое знание языка и культуры.,Плохо структурированные языковые курсы еще больше запутали меня по поводу иностранной культуры.
"Я чувствую себя вдохновлённым, когда посещаю семинар по вопросам личного роста.",Я чувствую скептицизм после поверхностного разговора о самосовершенствовании.
Последние обновления приложения сделали его гораздо более удобным для пользователей и эффективным.,Последние изменения в программном обеспечении сделали его более сложным и разочаровывающим.
"Меня впечатляют инновационные решения, представленные на конференции по технологиям.",Меня недооценивает отсутствие оригинальных идей на промышленной конференции.
Новая программа по улучшению состояния здоровья на рабочем месте позволила значительно улучшить состояние здоровья работников и повысить уровень их удовлетворенности.,Инициатива по обеспечению обязательной физической подготовки сотрудников вызвала у сотрудников стресс и недовольство.
"Я чувствую себя более уверенным в финансовом отношении после того, как следую совету из личной финансовой книги.",Я больше беспокоюсь о деньгах после прочтения буддистских экономических прогнозов.
"Общинный садовый проект превратил пустой участок в прекрасное, продуктивное пространство.",Забытый ремонт парка оставил наш район с глаголом и угрозой безопасности.
Я в восторге от потенциала возобновляемых источников энергии для создания более устойчивого будущего.,Меня беспокоят экономические последствия перехода от традиционных источников энергии.
Новый инструмент сотрудничества значительно повысил производительность нашей команды и ее коммуникацию.,Сложное программное обеспечение для управления проектом затруднило наш рабочий процесс и создало путаницу.
Я чувствую себя более уверенным в своих кулинарных навыках после прохождения курса кулинарии в Интернете.,"Я чувствую себя подавленной своими способностями на кухне после того, как попробовал сложные рецепты."
Культурный фестиваль города способствовал более глубокому пониманию и пониманию различных общин.,Плохо организованное многокультурное мероприятие усугубило напряженность и недопонимание.
"Я впечатлена тем, как компания уделяет приоритетное внимание поддержке психического здоровья своих сотрудников.",Меня беспокоит отсутствие инициатив по обеспечению баланса между работой и личной жизнью в нашей организации.
Новая общественная художественная установка принесла в наше сообщество вибрацию и дискуссию.,Спорная скульптура вызвала разногласия и жалобы по соседству.
