simple,complex
abandon,relinquish
about,approximately
accept,receive
adapt,acclimatize
add,append
admit,ingress
after,subsequent
allow,permit
amount,quantify
answer,respond
argue,postulate
arrange,configure
attack,assail
attract,entice
avoid,circumvent
begin,initiate
best,optimal
break,fracture
build,fabricate
burn,incinerate
car,automobile
catch,apprehend
change,modify
choose,select
climb,ascend
collect,aggregate
come,arrive
correct,rectify
cost,expenditure
create,synthesize
cut,incise
damage,degrade
deal,mediate
decide,determine
decrease,attenuate
describe,characterize
destroy,annihilate
differ,diverge
discuss,deliberate
divide,partition
do,accomplish
drive,propel
drink,imbibe
dry,desiccate
earn,generate
eat,consume
end,terminate
enjoy,savor
enter,infiltrate
explain,elucidate
fall,descend
fast,expeditious
fight,combat
fix,repair
follow,pursue
force,coerce
forgive,exonerate
free,unencumbered
freeze,solidify
get,acquire
give,provide
go,depart
grow,expand
have,possess
hate,detest
help,facilitate
hide,conceal
hold,retain
hope,aspire
join,enroll
leave,exit
like,prefer
live,reside
look,observe
love,adore
make,produce
move,relocate
must,mandatory
need,require
pay,compensate
remaining,residual
remember,recollect
say,articulate
see,perceive
seem,appear
show,demonstrate
start,commence
stop,cease
take,seize
talk,converse
tell,inform
think,contemplate
try,endeavor
turn,rotate
use,utilize
walk,perambulate
want,desire
warn,admonish
win,prevail
write,compose
