topic,neutral,positive,negative
Architecture and Design,BIM model,accurate,complex
Architecture and Design,HVAC system,efficient,noisy
Architecture and Design,accessibility ramp,convenient,steep
Architecture and Design,acoustics (building),balanced,echoey
Architecture and Design,airport,efficient,confusing
Architecture and Design,alley,intimate,sketchy
Architecture and Design,apartment,efficient,cramped
Architecture and Design,aquarium,fascinating,overcrowded
Architecture and Design,arboretum,diverse,overgrown
Architecture and Design,arena,versatile,impractical
Architecture and Design,attic,charming,stuffy
Architecture and Design,auditorium,spacious,cramped
Architecture and Design,balcony,scenic,precarious
Architecture and Design,bar,lively,seedy
Architecture and Design,basement,utilitarian,damp
Architecture and Design,blueprint,detailed,flawed
Architecture and Design,botanical garden,educational,poorly-maintained
Architecture and Design,bridge,connecting,unstable
Architecture and Design,building,iconic,eyesore
Architecture and Design,building code,protective,outdated
Architecture and Design,cabin,rustic,primitive
Architecture and Design,cafe,inviting,cramped
Architecture and Design,campus,vibrant,sprawling
Architecture and Design,classroom,stimulating,dull
Architecture and Design,clinic,accessible,impersonal
Architecture and Design,conservatory,beautiful,impractical
Architecture and Design,construction,solid,shoddy
Architecture and Design,cottage,quaint,dilapidated
Architecture and Design,courtyard,secluded,neglected
Architecture and Design,deck,versatile,weathered
Architecture and Design,demolition,necessary,destructive
Architecture and Design,demolition crew,efficient,reckless
Architecture and Design,design,innovative,impractical
Architecture and Design,district,bustling,decaying
Architecture and Design,dormitory,communal,cramped
Architecture and Design,dormitory,communal,overcrowded
Architecture and Design,elevator shaft,integrated,obtrusive
Architecture and Design,exhibit,captivating,boring
Architecture and Design,exterior,impressive,bland
Architecture and Design,facade,striking,garish
Architecture and Design,facade detail,intricate,fussy
Architecture and Design,fire escape,functional,rusted
Architecture and Design,fitness center,well-equipped,crowded
Architecture and Design,floor plan,logical,maze-like
Architecture and Design,foundation,solid,cracked
Architecture and Design,fountain,soothing,wasteful
Architecture and Design,gallery,curated,disorganized
Architecture and Design,gallery,curated,pretentious
Architecture and Design,garage,spacious,cluttered
Architecture and Design,garden,lush,overgrown
Architecture and Design,golf course,manicured,wasteful
Architecture and Design,greenhouse,sustainable,inefficient
Architecture and Design,highway,expansive,congested
Architecture and Design,home,cozy,uninviting
Architecture and Design,hospital,efficient,sterile
Architecture and Design,hotel,accommodating,rundown
Architecture and Design,house,spacious,drafty
Architecture and Design,installation,interactive,gimmicky
Architecture and Design,insulation,effective,inadequate
Architecture and Design,interior,welcoming,claustrophobic
Architecture and Design,interior designer,creative,expensive
Architecture and Design,laboratory,cutting-edge,hazardous
Architecture and Design,laboratory,well-equipped,outdated
Architecture and Design,landmark,memorable,unremarkable
Architecture and Design,landscape,harmonious,neglected
Architecture and Design,landscape architect,skilled,impractical
Architecture and Design,library,resourceful,underutilized
Architecture and Design,lobby,welcoming,impersonal
Architecture and Design,loft,open-concept,exposed
Architecture and Design,mall,convenient,outdated
Architecture and Design,mansion,luxurious,gaudy
Architecture and Design,material,durable,cheap
Architecture and Design,monument,awe-inspiring,ostentatious
Architecture and Design,museum,educational,outdated
Architecture and Design,natural light,abundant,glaring
Architecture and Design,neighborhood,charming,rundown
Architecture and Design,office,ergonomic,uncomfortable
Architecture and Design,park,tranquil,derelict
Architecture and Design,patio,inviting,exposed
Architecture and Design,permit,approved,delayed
Architecture and Design,playground,engaging,unsafe
Architecture and Design,plaza,vibrant,deserted
Architecture and Design,plumbing,reliable,faulty
Architecture and Design,pool,refreshing,high-maintenance
Architecture and Design,porch,welcoming,rickety
Architecture and Design,port,bustling,polluted
Architecture and Design,preservation,thoughtful,restrictive
Architecture and Design,proportion,balanced,awkward
Architecture and Design,renovation,refreshing,botched
Architecture and Design,resort,relaxing,overpriced
Architecture and Design,restaurant,atmospheric,noisy
Architecture and Design,restoration,faithful,inauthentic
Architecture and Design,roofing,waterproof,leaky
Architecture and Design,rooftop,panoramic,unsafe
Architecture and Design,scale,human,overwhelming
Architecture and Design,school,nurturing,outdated
Architecture and Design,sculpture,thought-provoking,confusing
Architecture and Design,shop,well-organized,cluttered
Architecture and Design,skyline,breathtaking,cluttered
Architecture and Design,space,functional,cramped
Architecture and Design,sports complex,multi-purpose,underused
Architecture and Design,stadium,state-of-the-art,obsolete
Architecture and Design,staircase,elegant,hazardous
Architecture and Design,station,accessible,congested
Architecture and Design,street,pedestrian-friendly,dangerous
Architecture and Design,structural engineer,competent,conservative
Architecture and Design,structure,sturdy,unstable
Architecture and Design,studio,inspiring,cluttered
Architecture and Design,studio,versatile,confined
Architecture and Design,style,distinctive,derivative
Architecture and Design,sustainable design,eco-friendly,costly
Architecture and Design,terminal,modern,outdated
Architecture and Design,terrace,expansive,underutilized
Architecture and Design,texture,rich,rough
Architecture and Design,theater,acoustically-perfect,echo-prone
Architecture and Design,theme park,exciting,artificial
Architecture and Design,tunnel,efficient,claustrophobic
Architecture and Design,university,prestigious,bureaucratic
Architecture and Design,urban planning,strategic,haphazard
Architecture and Design,urban sprawl,managed,uncontrolled
Architecture and Design,ventilation,fresh,stagnant
Architecture and Design,water park,thrilling,unsanitary
Architecture and Design,wiring,safe,outdated
Architecture and Design,workshop,practical,messy
Architecture and Design,workspace,collaborative,isolating
Architecture and Design,zoning,organized,restrictive
Architecture and Design,zoo,immersive,cramped
Arts and Culture,abstract,thought-provoking,meaningless
Arts and Culture,agent,well-connected,demanding
Arts and Culture,allegory,profound,obvious
Arts and Culture,animation,fluid,jerky
Arts and Culture,appreciation,genuine,superficial
Arts and Culture,architecture,iconic,unremarkable
Arts and Culture,art,expressive,pretentious
Arts and Culture,artifact,authentic,counterfeit
Arts and Culture,artist,creative,starving
Arts and Culture,artwork,expressive,derivative
Arts and Culture,audience,receptive,unappreciative
Arts and Culture,audition,successful,nerve-wracking
Arts and Culture,avant-garde,innovative,incomprehensible
Arts and Culture,award,prestigious,political
Arts and Culture,ballet,elegant,rigid
Arts and Culture,baroque,ornate,excessive
Arts and Culture,brushstroke,expressive,messy
Arts and Culture,canvas,prepped,warped
Arts and Culture,casting,spot-on,miscast
Arts and Culture,ceremony,meaningful,hollow
Arts and Culture,character,memorable,flat
Arts and Culture,character,well-developed,flat
Arts and Culture,character development,rich,stagnant
Arts and Culture,chisel,precise,dull
Arts and Culture,choreography,fluid,stilted
Arts and Culture,classical,refined,stuffy
Arts and Culture,classical,timeless,outdated
Arts and Culture,clay,malleable,brittle
Arts and Culture,composition,balanced,chaotic
Arts and Culture,composition,well-structured,chaotic
Arts and Culture,conservation,protective,neglectful
Arts and Culture,contemporary,cutting-edge,fleeting
Arts and Culture,costume,elaborate,tacky
Arts and Culture,craftsmanship,skillful,shoddy
Arts and Culture,creativity,boundless,stifled
Arts and Culture,critic,discerning,jaded
Arts and Culture,critique,constructive,scathing
Arts and Culture,cuisine,flavorful,bland
Arts and Culture,culture,diverse,homogeneous
Arts and Culture,curator,knowledgeable,biased
Arts and Culture,dance,graceful,awkward
Arts and Culture,design,sleek,gaudy
Arts and Culture,dialogue,natural,stilted
Arts and Culture,direction,visionary,misguided
Arts and Culture,docent,informative,condescending
Arts and Culture,electronic,innovative,synthetic
Arts and Culture,encore,deserved,obligatory
Arts and Culture,era,defining,unremarkable
Arts and Culture,exhibition,innovative,repetitive
Arts and Culture,exhibition,showcasing,overwhelming
Arts and Culture,experimental,boundary-pushing,inaccessible
Arts and Culture,expression,authentic,contrived
Arts and Culture,expressionistic,emotive,exaggerated
Arts and Culture,fame,celebrated,notorious
Arts and Culture,fashion,trendsetting,outdated
Arts and Culture,fashion,trendy,outdated
Arts and Culture,festival,vibrant,commercialized
Arts and Culture,film,cinematic,cliché
Arts and Culture,film,thought-provoking,predictable
Arts and Culture,folk,authentic,simplistic
Arts and Culture,folklore,rich,forgotten
Arts and Culture,fusion,eclectic,confused
Arts and Culture,gallery,curated,elitist
Arts and Culture,genre,defined,limiting
Arts and Culture,genre,established,stale
Arts and Culture,genre,innovative,formulaic
Arts and Culture,gothic,mysterious,gloomy
Arts and Culture,graphics,high-resolution,pixelated
Arts and Culture,harmony,balanced,dissonant
Arts and Culture,heritage,preserved,neglected
Arts and Culture,hip-hop,rhythmic,vulgar
Arts and Culture,history,informative,revisionist
Arts and Culture,impressionistic,atmospheric,unfocused
Arts and Culture,improvisation,spontaneous,messy
Arts and Culture,inspiration,original,imitative
Arts and Culture,interpretation,nuanced,far-fetched
Arts and Culture,interpretation,nuanced,simplistic
Arts and Culture,irony,clever,misunderstood
Arts and Culture,jazz,improvisational,chaotic
Arts and Culture,juxtaposition,striking,jarring
Arts and Culture,language,expressive,confusing
Arts and Culture,legend,enduring,fabricated
Arts and Culture,lighting,atmospheric,harsh
Arts and Culture,literature,profound,superficial
Arts and Culture,literature,thought-provoking,verbose
Arts and Culture,makeup,enhancing,excessive
Arts and Culture,manuscript,polished,rejected
Arts and Culture,medium,appropriate,limiting
Arts and Culture,melody,beautiful,discordant
Arts and Culture,metaphor,insightful,forced
Arts and Culture,minimalist,clean,bare
Arts and Culture,modern,progressive,alienating
Arts and Culture,motif,recurring,forced
Arts and Culture,motif,unifying,repetitive
Arts and Culture,movement,influential,short-lived
Arts and Culture,movie,captivating,predictable
Arts and Culture,museum,educational,dusty
Arts and Culture,music,melodious,cacophonous
Arts and Culture,myth,inspiring,misleading
Arts and Culture,narrative,compelling,convoluted
Arts and Culture,narrative arc,satisfying,meandering
Arts and Culture,novel,engrossing,wordy
Arts and Culture,opera,powerful,overwrought
Arts and Culture,painting,masterful,amateurish
Arts and Culture,painting,vibrant,bland
Arts and Culture,parody,witty,mean-spirited
Arts and Culture,patron,generous,interfering
Arts and Culture,performance,captivating,lackluster
Arts and Culture,performance,engaging,lackluster
Arts and Culture,period,significant,forgettable
Arts and Culture,perspective,unique,narrow
Arts and Culture,perspective (art),unique,distorted
Arts and Culture,photography,striking,bland
Arts and Culture,play,entertaining,tedious
Arts and Culture,plot,engaging,predictable
Arts and Culture,poem,lyrical,obscure
Arts and Culture,poetry,evocative,cliché
Arts and Culture,pop,accessible,commercialized
Arts and Culture,postmodern,complex,convoluted
Arts and Culture,premiere,celebrated,panned
Arts and Culture,production,high-quality,low-budget
Arts and Culture,prop,authentic,cheap
Arts and Culture,publisher,supportive,exploitative
Arts and Culture,realistic,true-to-life,unimaginative
Arts and Culture,recognition,well-deserved,unearned
Arts and Culture,rehearsal,productive,disorganized
Arts and Culture,renaissance,reviving,anachronistic
Arts and Culture,restoration,faithful,inaccurate
Arts and Culture,review,balanced,biased
Arts and Culture,rhythm,pulsating,erratic
Arts and Culture,rhythm (poetry),musical,jarring
Arts and Culture,ritual,sacred,superstitious
Arts and Culture,rock,energetic,loud
Arts and Culture,romantic,passionate,sentimental
Arts and Culture,satire,biting,preachy
Arts and Culture,script,well-written,contrived
Arts and Culture,sculpture,intricate,crude
Arts and Culture,sculpture,three-dimensional,static
Arts and Culture,set,immersive,flimsy
Arts and Culture,skill,honed,undeveloped
Arts and Culture,special effects,convincing,cheesy
Arts and Culture,stanza,flowing,forced
Arts and Culture,subtext,nuanced,nonexistent
Arts and Culture,surrealistic,dreamlike,nonsensical
Arts and Culture,symbolism,meaningful,obscure
Arts and Culture,symbolism,meaningful,obvious
Arts and Culture,symbolism,subtle,heavy-handed
Arts and Culture,talent,natural,overrated
Arts and Culture,technique,refined,amateurish
Arts and Culture,theater,dramatic,melodramatic
Arts and Culture,theater,immersive,dull
Arts and Culture,theme,resonant,didactic
Arts and Culture,theme,universal,cliché
Arts and Culture,theme,universal,heavy-handed
Arts and Culture,tradition,respected,outdated
Arts and Culture,tradition,time-honored,outdated
Arts and Culture,traditional,authentic,stagnant
Arts and Culture,world,diverse,appropriative
Business and Finance,AI,intelligent,biased
Business and Finance,CEO,leader,corrupt
Business and Finance,CFO,strategic,embezzling
Business and Finance,COO,efficient,micromanaging
Business and Finance,GDP,expanding,contracting
Business and Finance,IPO,successful,underwhelming
Business and Finance,SWOT analysis,insightful,superficial
Business and Finance,acquisition,strategic,overvalued
Business and Finance,advertising,effective,misleading
Business and Finance,analytics,predictive,misleading
Business and Finance,angel investor,strategic,meddling
Business and Finance,asset,appreciating,depreciating
Business and Finance,asset,productive,idle
Business and Finance,audit,clean,qualified
Business and Finance,automation,efficient,job-killing
Business and Finance,balance sheet,healthy,unbalanced
Business and Finance,bankruptcy,restructuring,liquidation
Business and Finance,benefit,comprehensive,bare-bones
Business and Finance,board,governing,rubber-stamping
Business and Finance,bond,secure,junk
Business and Finance,bonus,generous,discretionary
Business and Finance,brand,recognizable,tarnished
Business and Finance,brand loyalty,strong,eroding
Business and Finance,budget,balanced,deficit
Business and Finance,business,profitable,bankrupt
Business and Finance,business plan,solid,unrealistic
Business and Finance,capital,abundant,scarce
Business and Finance,cash flow,positive,negative
Business and Finance,cash flow statement,strong,weak
Business and Finance,client,valued,litigious
Business and Finance,commission,motivating,capped
Business and Finance,commodity,valuable,volatile
Business and Finance,competitor,challenging,unfair
Business and Finance,compliance,diligent,burdensome
Business and Finance,contract,clear,ambiguous
Business and Finance,corporation,multinational,monopolistic
Business and Finance,credit,good,bad
Business and Finance,currency,stable,devalued
Business and Finance,customer,loyal,dissatisfied
Business and Finance,customer retention,high,low
Business and Finance,data,insightful,breached
Business and Finance,debt,leveraged,overwhelming
Business and Finance,deflation,price stability,economic stagnation
Business and Finance,development,cutting-edge,behind schedule
Business and Finance,distribution,widespread,limited
Business and Finance,diversification,balanced,unfocused
Business and Finance,divestiture,streamlining,fire sale
Business and Finance,dividend,regular,suspended
Business and Finance,economy,growing,recession
Business and Finance,efficiency,optimized,wasteful
Business and Finance,employee,productive,underperforming
Business and Finance,entrepreneur,visionary,inexperienced
Business and Finance,expansion,strategic,overextended
Business and Finance,expense,necessary,excessive
Business and Finance,export,in-demand,banned
Business and Finance,finance,lucrative,indebted
Business and Finance,financial statement,transparent,misleading
Business and Finance,forecast,optimistic,pessimistic
Business and Finance,franchise,expanding,struggling
Business and Finance,globalization,interconnected,outsourcing
Business and Finance,growth,sustainable,stagnant
Business and Finance,human resources,supportive,bureaucratic
Business and Finance,import,cost-effective,flooding
Business and Finance,income statement,profitable,loss-making
Business and Finance,inflation,controlled,hyperinflation
Business and Finance,innovation,disruptive,impractical
Business and Finance,insurance,comprehensive,inadequate
Business and Finance,intellectual property,protected,infringed
Business and Finance,interest,compounding,usurious
Business and Finance,interest rate,low,crippling
Business and Finance,inventory,well-managed,overstocked
Business and Finance,investment,rewarding,risky
Business and Finance,invoice,prompt,overdue
Business and Finance,ledger,accurate,erroneous
Business and Finance,liability,controlled,unmanageable
Business and Finance,liability,manageable,crippling
Business and Finance,loan,approved,defaulted
Business and Finance,localization,community-focused,isolationist
Business and Finance,logistics,streamlined,bottlenecked
Business and Finance,manager,effective,incompetent
Business and Finance,manufacturing,lean,outsourced
Business and Finance,market,bullish,bearish
Business and Finance,market share,dominant,shrinking
Business and Finance,marketing,engaging,deceptive
Business and Finance,merger,synergistic,hostile
Business and Finance,negotiation,successful,stalled
Business and Finance,nonprofit,charitable,mismanaged
